Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
Macedonia,106,2,23.0,96.1,7850.0,92.0,92.0,2036.0
Madagascar,107,3,154.0,70.7,870.0,96.0,96.0,19159.0
Malawi,108,3,160.0,64.1,690.0,94.0,88.0,13571.0
Malaysia,109,6,12.0,88.7,12160.0,100.0,100.0,26114.0
Maldives,110,7,8.0,96.3,4740.0,97.0,97.0,300.0
Mali,111,3,192.0,24.0,1000.0,54.0,67.0,11968.0
Malta,112,1,17.0,87.9,20990.0,91.0,92.0,405.0
Marshall Islands,113,6,,,8040.0,66.0,67.0,58.0
Mauritania,114,3,88.0,51.2,1970.0,82.0,78.0,3044.0
Mauritius,115,3,36.0,84.3,10640.0,96.0,94.0,1252.0
Mexico,116,4,94.0,91.6,11990.0,97.0,98.0,105342.0
Micronesia (Federated States of),117,6,44.0,,6070.0,,,111.0
Moldova,118,2,29.0,99.0,2660.0,88.0,88.0,3833.0
Monaco,119,2,,,,,,33.0
Mongolia,120,6,28.0,97.8,2810.0,93.0,90.0,2605.0
Montenegro,121,2,16.0,,8930.0,,,601.0
Morocco,122,1,35.0,52.3,3860.0,85.0,91.0,30853.0
Mozambique,123,3,185.0,38.7,660.0,73.0,79.0,20971.0
Myanmar,124,6,29.0,89.9,510.0,100.0,99.0,48379.0
Namibia,125,3,88.0,85.0,4770.0,79.0,74.0,2047.0
Nauru,126,6,,,,,,10.0
Nepal,127,7,106.0,48.6,1010.0,74.0,84.0,27641.0
Netherlands,128,2,7.0,,37940.0,97.0,99.0,16379.0
Netherlands Antilles,129,5,,,,,,
New Caledonia,130,6,,,,,,
New Zealand,131,6,27.0,,25750.0,99.0,99.0,4140.0
Nicaragua,132,5,119.0,76.7,2720.0,90.0,90.0,5532.0
Niger,133,3,199.0,28.7,630.0,37.0,50.0,13737.0
Nigeria,134,3,126.0,69.0,1410.0,59.0,68.0,144720.0
Niue,135,6,,,,98.0,99.0,2.0
Norway,136,2,8.0,,50070.0,98.0,98.0,4669.0
Oman,137,1,11.0,81.4,19740.0,75.0,73.0,2546.0
Pakistan,138,7,24.0,49.9,2410.0,57.0,73.0,160943.0
Palau,139,6,,,14340.0,94.0,98.0,20.0
Panama,140,5,84.0,91.9,8690.0,98.0,99.0,3288.0
Papua New Guinea,141,6,77.0,57.3,1630.0,,,6202.0
Paraguay,142,5,65.0,93.2,4040.0,95.0,94.0,6016.0
Peru,143,5,59.0,87.9,6490.0,97.0,96.0,27589.0
Philippines,144,6,55.0,92.6,3430.0,92.0,90.0,86264.0
Poland,145,2,14.0,,14250.0,96.0,96.0,38140.0
Portugal,146,2,19.0,93.9,19960.0,98.0,98.0,10579.0
Puerto Rico,147,5,,,,,,
Qatar,148,1,19.0,89.0,,94.0,93.0,821.0
Romania,149,2,33.0,97.3,10150.0,93.0,93.0,21532.0
Russia,150,2,28.0,99.4,12740.0,91.0,91.0,143221.0
Rwanda,151,3,44.0,64.9,730.0,81.0,76.0,9464.0
Saint Kitts and Nevis,152,5,,,12440.0,78.0,64.0,50.0
Saint Lucia,153,5,51.0,,8500.0,97.0,99.0,163.0
Saint Vincent and the Grenadines,154,5,71.0,,6220.0,88.0,92.0,120.0
Samoa,155,6,45.0,98.6,5090.0,91.0,90.0,185.0
San Marino,156,2,,,,,,31.0
Sao Tome and Principe,157,3,91.0,84.9,1490.0,98.0,97.0,155.0
Saudi Arabia,158,1,15.0,82.9,22300.0,87.0,87.0,24175.0
Senegal,159,3,100.0,39.3,1560.0,70.0,71.0,12072.0
Serbia,160,2,24.0,,9320.0,,,9851.0
Seychelles,161,3,,91.8,14360.0,100.0,99.0,86.0
Sierra Leone,162,3,178.0,34.8,610.0,36.0,50.0,5743.0
Singapore,163,6,7.0,92.5,43300.0,77.0,77.0,4382.0
Slovakia,164,2,21.0,,17060.0,92.0,92.0,5388.0
Slovenia,165,2,6.0,99.7,23970.0,95.0,96.0,2001.0
Solomon Islands,166,6,72.0,,1850.0,61.0,62.0,484.0
Somalia,167,3,35.0,,,6.0,11.0,8445.0
South Africa,168,3,65.0,82.4,8900.0,88.0,88.0,48282.0
Spain,169,2,10.0,97.2,28200.0,99.0,100.0,43887.0
Sri Lanka,170,7,29.0,90.7,3730.0,100.0,99.0,19207.0
Sudan,171,3,51.0,60.9,1780.0,37.0,45.0,37707.0
Suriname,172,5,62.0,89.6,7720.0,98.0,95.0,455.0
Swaziland,173,3,73.0,79.6,4700.0,79.0,78.0,1134.0
Sweden,174,2,7.0,,34310.0,95.0,95.0,9078.0
Switzerland,175,2,5.0,,40840.0,89.0,89.0,7455.0
Syria,176,1,58.0,80.8,4110.0,92.0,97.0,19408.0
Taiwan,177,6,,,,,,
Tajikistan,178,2,57.0,99.5,1560.0,95.0,99.0,6640.0
Tanzania,179,3,139.0,69.4,980.0,97.0,98.0,39459.0
Thailand,180,6,70.0,92.6,7440.0,94.0,94.0,63444.0
Timor-Leste,181,6,49.0,,5100.0,67.0,70.0,1114.0
Togo,182,3,89.0,53.2,770.0,75.0,86.0,6410.0
Tonga,183,6,17.0,98.9,5470.0,94.0,97.0,100.0
Trinidad and Tobago,184,5,35.0,98.5,16800.0,85.0,85.0,1328.0
Tunisia,185,1,8.0,74.3,6490.0,97.0,96.0,10215.0
Turkey,186,2,51.0,87.4,8410.0,89.0,93.0,73922.0
Turkmenistan,187,2,29.0,98.8,3990.0,,,4899.0
Tuvalu,188,6,,,,,,10.0
Uganda,189,3,159.0,68.1,880.0,,,29899.0
Ukraine,190,2,29.0,99.4,6110.0,90.0,90.0,46557.0
United Arab Emirates,191,1,37.0,88.5,31190.0,88.0,88.0,4248.0
United Kingdom,192,2,27.0,,33650.0,99.0,98.0,60512.0
United States of America,193,4,43.0,,44070.0,93.0,91.0,302841.0
Uruguay,194,5,64.0,96.8,9940.0,100.0,100.0,3331.0
Uzbekistan,195,2,40.0,,2190.0,78.0,79.0,26981.0
Vanuatu,196,6,92.0,75.5,3480.0,86.0,88.0,221.0
Venezuela,197,5,81.0,93.0,10970.0,91.0,91.0,27191.0
Vietnam,198,6,25.0,90.3,2310.0,91.0,96.0,86206.0
West Bank and Gaza,199,1,,,,,,
Yemen,200,1,83.0,54.1,2090.0,65.0,85.0,21732.0
Zambia,201,3,161.0,68.0,1140.0,94.0,90.0,11696.0
Zimbabwe,202,3,101.0,89.5,,88.0,87.0,13228.0
